               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.015991,            0.075166,           0.0063911,             0.95003,             0.93414,             0.95748,             0.84907,            0.014393,            0.054125,           0.0051656,            0.007591,            0.007591,            0.007591
                  75,            0.017022,            0.074504,           0.0064863,             0.95022,             0.93648,             0.96006,             0.84372,            0.014714,            0.054145,           0.0052675,            0.007558,            0.007558,            0.007558
                  76,            0.016834,            0.075256,           0.0064407,             0.95459,             0.93299,             0.96126,             0.84807,            0.014427,            0.054056,             0.00505,            0.007525,            0.007525,            0.007525
                  77,             0.01623,            0.071654,            0.006319,             0.95014,             0.92952,             0.95692,             0.84059,            0.015055,             0.05564,           0.0052342,            0.007492,            0.007492,            0.007492
                  78,            0.016218,            0.074214,           0.0062394,             0.95445,             0.93051,             0.95685,             0.84833,            0.014317,            0.054142,           0.0051643,            0.007459,            0.007459,            0.007459
                  79,            0.016473,            0.074459,           0.0061561,             0.94711,             0.93573,             0.95634,             0.84677,            0.014279,            0.054233,           0.0051267,            0.007426,            0.007426,            0.007426
                  80,            0.016254,            0.072116,           0.0061418,             0.94735,             0.93312,             0.95524,             0.84502,            0.014278,             0.05499,           0.0050463,            0.007393,            0.007393,            0.007393
                  81,            0.016521,            0.074879,           0.0061493,             0.94595,             0.93051,             0.95543,             0.84474,            0.014068,            0.054163,           0.0050836,             0.00736,             0.00736,             0.00736
                  82,            0.016244,            0.071864,           0.0063163,             0.95352,             0.92724,             0.95605,              0.8424,            0.014885,            0.054872,           0.0052407,            0.007327,            0.007327,            0.007327
                  83,            0.016748,            0.073964,           0.0061849,             0.95093,             0.92882,             0.95222,             0.84281,            0.014269,            0.055164,           0.0052113,            0.007294,            0.007294,            0.007294
                  84,            0.016416,            0.072326,           0.0062353,             0.94632,             0.93399,             0.95386,             0.84507,            0.014315,            0.055185,           0.0050696,            0.007261,            0.007261,            0.007261
